DateTime,Building P (kW) 
2020-03-27 05:52:00,334.5
2020-03-27 05:53:00,351.5
2020-03-27 05:54:00,364.5
2020-03-27 05:55:00,363.5
2020-03-27 05:56:00,325.5
2020-03-27 05:57:00,305.5
2020-03-27 05:58:00,309.5
2020-03-27 05:59:00,289.5
2020-03-27 06:00:00,301.5
2020-03-27 06:01:00,325.5
2020-03-27 06:02:00,333.5
2020-03-27 06:03:00,321.5
2020-03-27 06:04:00,301.5
2020-03-27 06:05:00,295.5
2020-03-27 06:06:00,302.5
2020-03-27 06:07:00,313.5
2020-03-27 06:08:00,316.5
2020-03-27 06:09:00,329.5
2020-03-27 06:10:00,359.5
2020-03-27 06:11:00,360.5
2020-03-27 06:12:00,342.5
2020-03-27 06:13:00,317.5
2020-03-27 06:14:00,316.5
2020-03-27 06:15:00,322.5
2020-03-27 06:16:00,326.5
2020-03-27 06:17:00,323.4
2020-03-27 06:18:00,330.4
2020-03-27 06:19:00,332.4
2020-03-27 06:20:00,354.4
2020-03-27 06:21:00,347.4
2020-03-27 06:22:00,361.4
2020-03-27 06:23:00,364.5
2020-03-27 06:24:00,365.5
2020-03-27 06:25:00,363.5
2020-03-27 06:26:00,342.5
2020-03-27 06:27:00,350.5
2020-03-27 06:28:00,345.5
2020-03-27 06:29:00,359.5
2020-03-27 06:30:00,354.5
2020-03-27 06:31:00,342.5
2020-03-27 06:32:00,328.5
2020-03-27 06:33:00,375.5
2020-03-27 06:34:00,386.3
2020-03-27 06:35:00,414.3
2020-03-27 06:36:00,405.3
2020-03-27 06:37:00,397.3
2020-03-27 06:38:00,374.4
2020-03-27 06:39:00,373.5
2020-03-27 06:40:00,391.2
2020-03-27 06:41:00,403.0
2020-03-27 06:42:00,363.9
2020-03-27 06:43:00,346.0
2020-03-27 06:44:00,344.0
2020-03-27 06:45:00,341.0
2020-03-27 06:46:00,337.0
2020-03-27 06:47:00,352.0
2020-03-27 06:48:00,363.0
2020-03-27 06:49:00,360.0
2020-03-27 06:50:00,347.0
2020-03-27 06:51:00,332.0
2020-03-27 06:52:00,330.0
2020-03-27 06:53:00,359.0
2020-03-27 06:54:00,372.9
2020-03-27 06:55:00,387.0
2020-03-27 06:56:00,402.0
2020-03-27 06:57:00,382.0
2020-03-27 06:58:00,360.0
2020-03-27 06:59:00,341.9
2020-03-27 07:00:00,344.0
2020-03-27 07:01:00,363.0
2020-03-27 07:02:00,357.0
2020-03-27 07:03:00,355.0
2020-03-27 07:04:00,363.9
2020-03-27 07:05:00,362.0
2020-03-27 07:06:00,348.9
2020-03-27 07:07:00,343.9
2020-03-27 07:08:00,363.0
2020-03-27 07:09:00,386.9
2020-03-27 07:10:00,378.0
2020-03-27 07:11:00,397.0
2020-03-27 07:12:00,412.8
2020-03-27 07:13:00,417.0
2020-03-27 07:14:00,401.9
2020-03-27 07:15:00,400.0
2020-03-27 07:16:00,373.0
2020-03-27 07:17:00,365.8
2020-03-27 07:18:00,363.0
2020-03-27 07:19:00,348.9
2020-03-27 07:20:00,326.0
2020-03-27 07:21:00,330.9
2020-03-27 07:22:00,336.6
2020-03-27 07:23:00,341.8
2020-03-27 07:24:00,345.7
2020-03-27 07:25:00,373.9
2020-03-27 07:26:00,364.0
2020-03-27 07:27:00,355.4
2020-03-27 07:28:00,352.0
2020-03-27 07:29:00,326.9
2020-03-27 07:30:00,307.0
2020-03-27 07:31:00,296.1
2020-03-27 07:32:00,308.9
2020-03-27 07:33:00,331.1
2020-03-27 07:34:00,330.0
2020-03-27 07:35:00,321.1
2020-03-27 07:36:00,318.1
2020-03-27 07:37:00,326.0
2020-03-27 07:38:00,348.1
2020-03-27 07:39:00,356.0
2020-03-27 07:40:00,339.1
2020-03-27 07:41:00,338.48
2020-03-27 07:42:00,350.85
2020-03-27 07:43:00,355.88
2020-03-27 07:44:00,352.89
2020-03-27 07:45:00,333.49
2020-03-27 07:46:00,362.46
2020-03-27 07:47:00,396.76
2020-03-27 07:48:00,398.77
2020-03-27 07:49:00,395.76
2020-03-27 07:50:00,393.16
2020-03-27 07:51:00,407.23
2020-03-27 07:52:00,404.61
2020-03-27 07:53:00,424.15
2020-03-27 07:54:00,432.71
2020-03-27 07:55:00,398.41
2020-03-27 07:56:00,385.95
2020-03-27 07:57:00,389.72
2020-03-27 07:58:00,380.83
2020-03-27 07:59:00,356.5
2020-03-27 08:00:00,360.6
2020-03-27 08:01:00,355.5
2020-03-27 08:02:00,370.1
2020-03-27 08:03:00,354.2
2020-03-27 08:04:00,349.6
2020-03-27 08:05:00,334.5
2020-03-27 08:06:00,348.6
2020-03-27 08:07:00,362.3
2020-03-27 08:08:00,355.1
2020-03-27 08:09:00,357.2
2020-03-27 08:10:00,360.9
2020-03-27 08:11:00,332.8
2020-03-27 08:12:00,312.3
2020-03-27 08:13:00,301.0
2020-03-27 08:14:00,318.1
2020-03-27 08:15:00,324.4
2020-03-27 08:16:00,338.4
2020-03-27 08:17:00,361.7
2020-03-27 08:18:00,363.9
2020-03-27 08:19:00,329.7
2020-03-27 08:20:00,321.8
2020-03-27 08:21:00,336.7
2020-03-27 08:22:00,327.9
2020-03-27 08:23:00,336.7
2020-03-27 08:24:00,336.1
2020-03-27 08:25:00,380.8
2020-03-27 08:26:00,379.7
2020-03-27 08:27:00,381.7
2020-03-27 08:28:00,398.9
2020-03-27 08:29:00,395.5
2020-03-27 08:30:00,389.6
2020-03-27 08:31:00,377.0
2020-03-27 08:32:00,343.0
2020-03-27 08:33:00,333.7
2020-03-27 08:34:00,350.4
2020-03-27 08:35:00,348.3
2020-03-27 08:36:00,346.3
2020-03-27 08:37:00,361.6
2020-03-27 08:38:00,373.8
2020-03-27 08:39:00,357.4
2020-03-27 08:40:00,367.4
2020-03-27 08:41:00,380.9
2020-03-27 08:42:00,395.7
2020-03-27 08:43:00,392.5
2020-03-27 08:44:00,384.7
2020-03-27 08:45:00,395.9
2020-03-27 08:46:00,360.3
2020-03-27 08:47:00,369.4
2020-03-27 08:48:00,361.8
2020-03-27 08:49:00,354.5
2020-03-27 08:50:00,352.0
2020-03-27 08:51:00,346.8
2020-03-27 08:52:00,349.1
2020-03-27 08:53:00,353.1
2020-03-27 08:54:00,361.9
2020-03-27 08:55:00,362.1
2020-03-27 08:56:00,356.9
2020-03-27 08:57:00,390.5
2020-03-27 08:58:00,395.1
2020-03-27 08:59:00,401.7
2020-03-27 09:00:00,386.0
2020-03-27 09:01:00,376.9
2020-03-27 09:02:00,399.4
2020-03-27 09:03:00,400.1
2020-03-27 09:04:00,376.2
2020-03-27 09:05:00,372.7
2020-03-27 09:06:00,385.9
2020-03-27 09:07:00,366.0
2020-03-27 09:08:00,357.3
2020-03-27 09:09:00,344.8
2020-03-27 09:10:00,338.1
2020-03-27 09:11:00,328.9
2020-03-27 09:12:00,337.8
2020-03-27 09:13:00,345.9
2020-03-27 09:14:00,345.7
2020-03-27 09:15:00,343.5
2020-03-27 09:16:00,374.3
2020-03-27 09:17:00,378.9
2020-03-27 09:18:00,378.4
2020-03-27 09:19:00,368.1
2020-03-27 09:20:00,365.5
2020-03-27 09:21:00,355.5
2020-03-27 09:22:00,361.3
2020-03-27 09:23:00,378.7
2020-03-27 09:24:00,378.1
2020-03-27 09:25:00,384.7
2020-03-27 09:26:00,410.8
2020-03-27 09:27:00,406.9
2020-03-27 09:28:00,385.8
2020-03-27 09:29:00,391.3
2020-03-27 09:30:00,380.2
2020-03-27 09:31:00,391.9
2020-03-27 09:32:00,396.2
2020-03-27 09:33:00,392.0
2020-03-27 09:34:00,399.2
2020-03-27 09:35:00,423.3
2020-03-27 09:36:00,384.4
2020-03-27 09:37:00,369.9
2020-03-27 09:38:00,367.1
2020-03-27 09:39:00,369.8
2020-03-27 09:40:00,365.8
2020-03-27 09:41:00,368.1
2020-03-27 09:42:00,349.3
2020-03-27 09:43:00,349.3
2020-03-27 09:44:00,341.0
2020-03-27 09:45:00,325.9
2020-03-27 09:46:00,346.0
2020-03-27 09:47:00,364.9
2020-03-27 09:48:00,359.0
2020-03-27 09:49:00,361.7
2020-03-27 09:50:00,361.6
2020-03-27 09:51:00,346.7
2020-03-27 09:52:00,333.7
2020-03-27 09:53:00,337.2
2020-03-27 09:54:00,339.4
2020-03-27 09:55:00,324.2
2020-03-27 09:56:00,331.0
2020-03-27 09:57:00,340.6
2020-03-27 09:58:00,368.2
2020-03-27 09:59:00,356.5
2020-03-27 10:00:00,340.1
2020-03-27 10:01:00,345.0
2020-03-27 10:02:00,344.1
2020-03-27 10:03:00,338.8
2020-03-27 10:04:00,356.8
2020-03-27 10:05:00,387.3
2020-03-27 10:06:00,408.2
2020-03-27 10:07:00,394.5
2020-03-27 10:08:00,389.7
2020-03-27 10:09:00,390.4
2020-03-27 10:10:00,386.7
2020-03-27 10:11:00,366.0
2020-03-27 10:12:00,354.1
2020-03-27 10:13:00,376.7
2020-03-27 10:14:00,382.6
2020-03-27 10:15:00,381.3
2020-03-27 10:16:00,360.0
2020-03-27 10:17:00,365.1
2020-03-27 10:18:00,358.1
2020-03-27 10:19:00,367.1
2020-03-27 10:20:00,395.6
2020-03-27 10:21:00,390.2
2020-03-27 10:22:00,386.7
2020-03-27 10:23:00,388.2
2020-03-27 10:24:00,371.9
2020-03-27 10:25:00,352.0
2020-03-27 10:26:00,343.9
2020-03-27 10:27:00,356.7
2020-03-27 10:28:00,368.0
2020-03-27 10:29:00,354.2
2020-03-27 10:30:00,342.7
2020-03-27 10:31:00,345.4
2020-03-27 10:32:00,326.3
2020-03-27 10:33:00,331.2
2020-03-27 10:34:00,335.0
2020-03-27 10:35:00,337.0
2020-03-27 10:36:00,327.4
2020-03-27 10:37:00,326.9
2020-03-27 10:38:00,334.4
2020-03-27 10:39:00,369.6
2020-03-27 10:40:00,389.0
2020-03-27 10:41:00,387.2
2020-03-27 10:42:00,367.5
2020-03-27 10:43:00,382.9
2020-03-27 10:44:00,380.3
2020-03-27 10:45:00,368.7
2020-03-27 10:46:00,364.7
2020-03-27 10:47:00,362.5
2020-03-27 10:48:00,359.0
2020-03-27 10:49:00,347.4
2020-03-27 10:50:00,335.3
2020-03-27 10:51:00,342.0
2020-03-27 10:52:00,338.5
2020-03-27 10:53:00,343.0
2020-03-27 10:54:00,363.7
2020-03-27 10:55:00,369.2
2020-03-27 10:56:00,355.9
2020-03-27 10:57:00,353.7
2020-03-27 10:58:00,353.5
2020-03-27 10:59:00,358.5
2020-03-27 11:00:00,365.6
2020-03-27 11:01:00,359.1
2020-03-27 11:02:00,348.4
2020-03-27 11:03:00,343.5
2020-03-27 11:04:00,349.0
2020-03-27 11:05:00,339.0
2020-03-27 11:06:00,311.0
2020-03-27 11:07:00,321.0
2020-03-27 11:08:00,337.0
2020-03-27 11:09:00,355.0
2020-03-27 11:10:00,345.0
2020-03-27 11:11:00,346.0
2020-03-27 11:12:00,360.0
2020-03-27 11:13:00,362.0
2020-03-27 11:14:00,390.0
2020-03-27 11:15:00,396.0
2020-03-27 11:16:00,374.0
2020-03-27 11:17:00,361.0
2020-03-27 11:18:00,345.0
2020-03-27 11:19:00,356.0
2020-03-27 11:20:00,366.0
2020-03-27 11:21:00,337.0
2020-03-27 11:22:00,323.0
2020-03-27 11:23:00,323.0
2020-03-27 11:24:00,336.0
2020-03-27 11:25:00,338.0
2020-03-27 11:26:00,338.0
2020-03-27 11:27:00,355.0
2020-03-27 11:28:00,377.0
2020-03-27 11:29:00,385.0
2020-03-27 11:30:00,384.0
2020-03-27 11:31:00,387.0
2020-03-27 11:32:00,381.0
2020-03-27 11:33:00,365.0
2020-03-27 11:34:00,378.0
2020-03-27 11:35:00,363.5
2020-03-27 11:36:00,339.0
2020-03-27 11:37:00,337.0
2020-03-27 11:38:00,345.0
2020-03-27 11:39:00,341.0
2020-03-27 11:40:00,325.0
2020-03-27 11:41:00,337.0
2020-03-27 11:42:00,344.0
2020-03-27 11:43:00,350.0
2020-03-27 11:44:00,356.0
2020-03-27 11:45:00,354.0
2020-03-27 11:46:00,358.0
2020-03-27 11:47:00,351.0
2020-03-27 11:48:00,336.0
2020-03-27 11:49:00,343.0
2020-03-27 11:50:00,339.0
2020-03-27 11:51:00,340.0
2020-03-27 11:52:00,329.0
2020-03-27 11:53:00,328.0
2020-03-27 11:54:00,342.0
2020-03-27 11:55:00,350.0
2020-03-27 11:56:00,346.0
2020-03-27 11:57:00,342.0
2020-03-27 11:58:00,323.0
2020-03-27 11:59:00,317.0
2020-03-27 12:00:00,302.0
2020-03-27 12:01:00,329.0
2020-03-27 12:02:00,360.0
2020-03-27 12:03:00,365.0
2020-03-27 12:04:00,382.0
2020-03-27 12:05:00,382.0
2020-03-27 12:06:00,361.0
2020-03-27 12:07:00,322.0
2020-03-27 12:08:00,310.0
2020-03-27 12:09:00,307.0
2020-03-27 12:10:00,323.0
2020-03-27 12:11:00,335.0
2020-03-27 12:12:00,332.0
2020-03-27 12:13:00,348.0
2020-03-27 12:14:00,362.0
2020-03-27 12:15:00,347.0
2020-03-27 12:16:00,329.0
2020-03-27 12:17:00,320.0
2020-03-27 12:18:00,316.0
2020-03-27 12:19:00,313.0
2020-03-27 12:20:00,312.0
2020-03-27 12:21:00,328.0
2020-03-27 12:22:00,338.0
2020-03-27 12:23:00,341.0
2020-03-27 12:24:00,365.0
2020-03-27 12:25:00,368.0
2020-03-27 12:26:00,362.0
2020-03-27 12:27:00,342.0
2020-03-27 12:28:00,331.0
2020-03-27 12:29:00,327.0
2020-03-27 12:30:00,328.0
2020-03-27 12:31:00,334.0
2020-03-27 12:32:00,321.0
2020-03-27 12:33:00,314.0
2020-03-27 12:34:00,328.0
2020-03-27 12:35:00,349.0
2020-03-27 12:36:00,338.0
2020-03-27 12:37:00,329.0
2020-03-27 12:38:00,334.0
2020-03-27 12:39:00,323.0
2020-03-27 12:40:00,312.0
2020-03-27 12:41:00,333.0
2020-03-27 12:42:00,346.0
2020-03-27 12:43:00,344.0
2020-03-27 12:44:00,333.0
2020-03-27 12:45:00,332.0
2020-03-27 12:46:00,345.0
2020-03-27 12:47:00,355.0
2020-03-27 12:48:00,336.0
2020-03-27 12:49:00,332.0
2020-03-27 12:50:00,322.0
2020-03-27 12:51:00,317.0
2020-03-27 12:52:00,339.0
2020-03-27 12:53:00,336.0
2020-03-27 12:54:00,340.0
2020-03-27 12:55:00,326.0
2020-03-27 12:56:00,317.0
2020-03-27 12:57:00,322.0
2020-03-27 12:58:00,322.0
2020-03-27 12:59:00,339.0
2020-03-27 13:00:00,335.0
2020-03-27 13:01:00,313.0
2020-03-27 13:02:00,321.0
2020-03-27 13:03:00,333.0
2020-03-27 13:04:00,335.0
2020-03-27 13:05:00,328.0
2020-03-27 13:06:00,330.0
2020-03-27 13:07:00,355.0
2020-03-27 13:08:00,371.0
2020-03-27 13:09:00,360.0
2020-03-27 13:10:00,362.0
2020-03-27 13:11:00,360.0
2020-03-27 13:12:00,358.0
2020-03-27 13:13:00,332.0
2020-03-27 13:14:00,325.0
2020-03-27 13:15:00,318.0
2020-03-27 13:16:00,328.0
2020-03-27 13:17:00,347.0
2020-03-27 13:18:00,358.0
2020-03-27 13:19:00,354.0
2020-03-27 13:20:00,377.0
2020-03-27 13:21:00,377.0
2020-03-27 13:22:00,351.0
2020-03-27 13:23:00,330.0
2020-03-27 13:24:00,316.0
2020-03-27 13:25:00,326.0
2020-03-27 13:26:00,364.0
2020-03-27 13:27:00,369.0
2020-03-27 13:28:00,368.0
2020-03-27 13:29:00,375.0
2020-03-27 13:30:00,370.0
2020-03-27 13:31:00,366.0
2020-03-27 13:32:00,342.4
2020-03-27 13:33:00,337.0
2020-03-27 13:34:00,333.0
2020-03-27 13:35:00,324.0
2020-03-27 13:36:00,330.0
2020-03-27 13:37:00,329.0
2020-03-27 13:38:00,319.0
2020-03-27 13:39:00,305.0
