sep=,
"Time","P","Q"
2020-01-30 20:20:00,678,745
2020-01-30 20:25:00,616,749
2020-01-30 20:30:00,662,734
2020-01-30 20:35:00,660,756
2020-01-30 20:40:00,643,754
2020-01-30 20:45:00,629,763
2020-01-30 20:50:00,582,754
2020-01-30 20:55:00,714,740
2020-01-30 21:00:00,661,753
2020-01-30 21:05:00,610,751
2020-01-30 21:10:00,619,750
2020-01-30 21:15:00,613,750
2020-01-30 21:20:00,680,738
2020-01-30 21:25:00,651,755
2020-01-30 21:30:00,671,747
2020-01-30 21:35:00,639,746
2020-01-30 21:40:00,673,764
2020-01-30 21:45:00,645,764
2020-01-30 21:50:00,599,760
2020-01-30 21:55:00,628,753
2020-01-30 22:00:00,672,739
2020-01-30 22:05:00,687,741
2020-01-30 22:10:00,729,750
2020-01-30 22:15:00,704,742
2020-01-30 22:20:00,682,749
2020-01-30 22:25:00,720,745
2020-01-30 22:30:00,611,752
2020-01-30 22:35:00,655,760
2020-01-30 22:40:00,719,747
2020-01-30 22:45:00,656,758
2020-01-30 22:50:00,733,744
2020-01-30 22:55:00,725,752
2020-01-30 23:00:00,721,761
2020-01-30 23:05:00,635,760
2020-01-30 23:10:00,716,755
2020-01-30 23:15:00,629,769
2020-01-30 23:20:00,717,753
2020-01-30 23:25:00,626,764
2020-01-30 23:30:00,714,753
2020-01-30 23:35:00,627,768
2020-01-30 23:40:00,688,762
2020-01-30 23:45:00,660,770
2020-01-30 23:50:00,717,757
2020-01-30 23:55:00,674,756
2020-01-31 00:00:00,641,772
2020-01-31 00:05:00,709,755
2020-01-31 00:10:00,622,761
2020-01-31 00:15:00,721,757
2020-01-31 00:20:00,666,756
2020-01-31 00:25:00,703,739
2020-01-31 00:30:00,736,755
2020-01-31 00:35:00,703,763
2020-01-31 00:40:00,692,760
2020-01-31 00:45:00,747,765
2020-01-31 00:50:00,720,773
2020-01-31 00:55:00,736,756
2020-01-31 01:00:00,694,773
2020-01-31 01:05:00,700,783
2020-01-31 01:10:00,666,765
2020-01-31 01:15:00,709,772
2020-01-31 01:20:00,741,751
2020-01-31 01:25:00,737,763
2020-01-31 01:30:00,759,776
2020-01-31 01:35:00,760,768
2020-01-31 01:40:00,673,768
2020-01-31 01:45:00,669,748
2020-01-31 01:50:00,631,764
2020-01-31 01:55:00,757,757
2020-01-31 02:00:00,646,760
2020-01-31 02:05:00,736,754
2020-01-31 02:10:00,639,759
2020-01-31 02:15:00,699,749
2020-01-31 02:20:00,701,750
2020-01-31 02:25:00,635,749
2020-01-31 02:30:00,722,750
2020-01-31 02:35:00,765,748
2020-01-31 02:40:00,709,753
2020-01-31 02:45:00,649,760
2020-01-31 02:50:00,722,771
2020-01-31 02:55:00,742,757
2020-01-31 03:00:00,684,748
2020-01-31 03:05:00,747,749
2020-01-31 03:10:00,630,767
2020-01-31 03:15:00,666,758
2020-01-31 03:20:00,742,750
2020-01-31 03:25:00,632,767
2020-01-31 03:30:00,610,760
2020-01-31 03:35:00,776,755
2020-01-31 03:40:00,633,751
2020-01-31 03:45:00,628,753
2020-01-31 03:50:00,757,750
2020-01-31 03:55:00,645,769
2020-01-31 04:00:00,731,753
2020-01-31 04:05:00,761,764
2020-01-31 04:10:00,635,763
2020-01-31 04:15:00,671,758
2020-01-31 04:20:00,651,761
2020-01-31 04:25:00,622,761
2020-01-31 04:30:00,689,761
2020-01-31 04:35:00,616,762
2020-01-31 04:40:00,682,774
2020-01-31 04:45:00,691,758
2020-01-31 04:50:00,693,763
2020-01-31 04:55:00,748,756
2020-01-31 05:00:00,725,766
2020-01-31 05:05:00,750,777
2020-01-31 05:10:00,787,754
2020-01-31 05:15:00,802,775
2020-01-31 05:20:00,774,767
2020-01-31 05:25:00,709,764
2020-01-31 05:30:00,764,754
2020-01-31 05:35:00,719,775
2020-01-31 05:40:00,692,774
2020-01-31 05:45:00,689,776
2020-01-31 05:50:00,700,773
2020-01-31 05:55:00,726,753
2020-01-31 06:00:00,709,778
2020-01-31 06:05:00,790,768
2020-01-31 06:10:00,736,770
2020-01-31 06:15:00,791,763
2020-01-31 06:20:00,758,764
2020-01-31 06:25:00,751,766
2020-01-31 06:30:00,726,770
2020-01-31 06:35:00,766,782
2020-01-31 06:40:00,787,763
2020-01-31 06:45:00,682,770
2020-01-31 06:50:00,742,780
2020-01-31 06:55:00,754,766
2020-01-31 07:00:00,675,751
2020-01-31 07:05:00,751,779
2020-01-31 07:10:00,719,775
2020-01-31 07:15:00,699,768
