MST,Avg Wind Speed @ 50m [m/s]
2016-12-24 10:05:00,0.63
2016-12-24 10:06:00,0.75
2016-12-24 10:07:00,1.0
2016-12-24 10:08:00,1.12
2016-12-24 10:09:00,0.81
2016-12-24 10:10:00,1.39
2016-12-24 10:11:00,1.17
2016-12-24 10:12:00,1.21
2016-12-24 10:13:00,1.42
2016-12-24 10:14:00,1.08
2016-12-24 10:15:00,1.13
2016-12-24 10:16:00,1.51
2016-12-24 10:17:00,1.18
2016-12-24 10:18:00,1.09
2016-12-24 10:19:00,1.63
2016-12-24 10:20:00,1.72
2016-12-24 10:21:00,1.25
2016-12-24 10:22:00,0.85
2016-12-24 10:23:00,0.43
2016-12-24 10:24:00,1.14
2016-12-24 10:25:00,1.44
2016-12-24 10:26:00,1.58
2016-12-24 10:27:00,1.62
2016-12-24 10:28:00,1.62
2016-12-24 10:29:00,1.06
2016-12-24 10:30:00,1.5
2016-12-24 10:31:00,1.8
2016-12-24 10:32:00,1.81
2016-12-24 10:33:00,1.55
2016-12-24 10:34:00,1.77
2016-12-24 10:35:00,1.45
2016-12-24 10:36:00,1.52
2016-12-24 10:37:00,0.93
2016-12-24 10:38:00,1.2
2016-12-24 10:39:00,1.02
2016-12-24 10:40:00,1.24
2016-12-24 10:41:00,1.37
2016-12-24 10:42:00,0.96
2016-12-24 10:43:00,0.64
2016-12-24 10:44:00,1.13
2016-12-24 10:45:00,1.32
2016-12-24 10:46:00,1.61
2016-12-24 10:47:00,1.67
2016-12-24 10:48:00,2.25
2016-12-24 10:49:00,1.81
2016-12-24 10:50:00,2.25
2016-12-24 10:51:00,2.07
2016-12-24 10:52:00,2.38
2016-12-24 10:53:00,2.17
2016-12-24 10:54:00,2.82
2016-12-24 10:55:00,2.92
2016-12-24 10:56:00,2.06
2016-12-24 10:57:00,2.23
2016-12-24 10:58:00,1.94
2016-12-24 10:59:00,1.41
2016-12-24 11:00:00,1.77
2016-12-24 11:01:00,1.52
2016-12-24 11:02:00,2.99
2016-12-24 11:03:00,3.25
2016-12-24 11:04:00,3.01
2016-12-24 11:05:00,3.57
2016-12-24 11:06:00,3.24
2016-12-24 11:07:00,2.53
2016-12-24 11:08:00,2.61
2016-12-24 11:09:00,2.68
2016-12-24 11:10:00,1.99
2016-12-24 11:11:00,1.68
2016-12-24 11:12:00,1.86
2016-12-24 11:13:00,1.53
2016-12-24 11:14:00,1.15
2016-12-24 11:15:00,1.62
2016-12-24 11:16:00,2.39
2016-12-24 11:17:00,2.58
2016-12-24 11:18:00,1.93
2016-12-24 11:19:00,2.27
2016-12-24 11:20:00,2.61
2016-12-24 11:21:00,2.98
2016-12-24 11:22:00,3.16
2016-12-24 11:23:00,3.2
2016-12-24 11:24:00,3.74
2016-12-24 11:25:00,3.81
2016-12-24 11:26:00,3.39
2016-12-24 11:27:00,3.72
2016-12-24 11:28:00,3.68
2016-12-24 11:29:00,3.87
2016-12-24 11:30:00,3.96
2016-12-24 11:31:00,3.51
2016-12-24 11:32:00,3.95
2016-12-24 11:33:00,3.67
2016-12-24 11:34:00,3.14
2016-12-24 11:35:00,3.73
2016-12-24 11:36:00,3.81
2016-12-24 11:37:00,3.72
2016-12-24 11:38:00,2.98
2016-12-24 11:39:00,3.22
2016-12-24 11:40:00,3.42
2016-12-24 11:41:00,3.44
2016-12-24 11:42:00,3.81
2016-12-24 11:43:00,3.21
2016-12-24 11:44:00,3.59
2016-12-24 11:45:00,3.69
2016-12-24 11:46:00,3.84
2016-12-24 11:47:00,4.04
2016-12-24 11:48:00,3.48
2016-12-24 11:49:00,3.43
2016-12-24 11:50:00,3.29
2016-12-24 11:51:00,3.94
2016-12-24 11:52:00,4.24
2016-12-24 11:53:00,3.91
2016-12-24 11:54:00,3.8
2016-12-24 11:55:00,4.12
2016-12-24 11:56:00,3.76
2016-12-24 11:57:00,3.94
2016-12-24 11:58:00,3.58
