Time (s),P (kW),Q (kW)
54359,297.6146494,135.5845733
54360,297.4505853,139.0643402
54361,297.5754906,133.0139613
54362,297.0213773,135.2541417
54363,297.742916,132.9639168
54364,300.2884385,138.068268
54365,300.1400416,137.2821454
54366,300.4975914,138.2300294
54367,300.2222938,131.9199134
54368,301.685457,135.7624228
54369,300.4450687,136.2408469
54370,300.2779829,134.0616296
54371,300.5861776,131.2188433
54372,301.2159245,138.9883545
54373,301.4272604,136.4470531
54374,305.3459697,140.9036308
54375,310.9948064,144.8687026
54376,307.6742187,140.8715543
54377,307.4997868,140.3597779
54378,307.4706925,138.8147129
54379,306.9472389,144.8502425
54380,306.7632657,135.8969923
54381,306.78497,140.3003147
54382,307.1383667,134.5595937
54383,307.1542603,138.8582142
54384,307.2136426,136.811534
54385,307.5188341,139.2416625
54386,307.0346154,139.9500298
54387,307.7501808,142.6303026
54388,307.6134791,136.8658152
54389,307.0138334,137.4422236
54390,306.8227432,142.603403
54391,307.0049412,134.1431074
54392,307.3674079,137.5616069
54393,306.513142,139.5815943
54394,306.6544081,134.9876348
54395,307.0059975,140.5195184
54396,307.0116612,143.8170377
54397,307.0629957,136.0075909
54398,270.5279453,117.9993653
54399,270.4581295,122.7908161
54400,270.3504743,119.2494262
54401,270.2274541,116.9781854
54402,270.9286061,118.3920703
54403,270.6313563,117.0596638
54404,271.7813345,114.4990904
54405,270.5202662,109.8591794
54406,270.2947849,113.6886136
54407,270.3983805,119.0922203
54408,270.0299734,122.0110722
54409,270.4088442,119.9850597
54410,270.0214044,113.1146592
54411,270.272927,117.9519815
54412,270.0661061,113.5429639
54413,270.5328754,115.9087323
54414,270.4128886,120.5700882
54415,270.6776673,116.0958632
54416,270.8784965,121.5795158
54417,270.4871963,116.0293667
54418,270.2560367,114.6916247
54419,270.7294113,123.9376224
54420,270.9019343,121.3149672
54421,270.8956112,116.3291632
54422,270.8818171,116.6131299
54423,271.1183271,117.853424
54424,270.9774882,116.8129649
54425,270.6375383,117.4610372
54426,270.7400432,113.7360011
54427,270.7616157,117.6168988
54428,270.7299255,119.4263768
54429,270.9911937,115.5971972
54430,268.2378232,115.5710284
54431,268.7098897,115.4148902
54432,268.2690311,113.3317608
54433,268.4104539,115.1075608
54434,268.4057383,115.8874758
54435,268.3562151,116.5993065
